Rank,GameID,GameName,Cost,Country,Datetime
1,1675200,Steam Deck,NT$ 179.00,GB,2024-08-18 12:05
2,730,Counter-Strike 2,Free To Play,GB,2024-08-18 12:05
3,1575940,Sins of a Solar Empire II,NT$ 596.00,GB,2024-08-18 12:05
4,2139460,Once Human,Free To Play,GB,2024-08-18 12:05
5,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",GB,2024-08-18 12:05
6,2162800,shapez 2,NT$ 326.00,GB,2024-08-18 12:05
7,2358720,Black Myth: Wukong,"NT$ 1,280.00",GB,2024-08-18 12:05
8,1091500,Cyberpunk 2077,NT$ 799.00,GB,2024-08-18 12:05
10,1040200,Crime Scene Cleaner,NT$ 288.00,GB,2024-08-18 12:05
11,2074920,The First Descendant,Free To Play,GB,2024-08-18 12:05
12,230410,Warframe,Free To Play,GB,2024-08-18 12:05
13,236390,War Thunder,Free To Play,GB,2024-08-18 12:05
14,1313140,Cult of the Lamb,NT$ 244.00,GB,2024-08-18 12:05
16,1086940,Baldur's Gate 3,"NT$ 1,599.00",GB,2024-08-18 12:05
17,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",GB,2024-08-18 12:05
18,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",GB,2024-08-18 12:05
19,1845910,Dragon Age™: The Veilguard,"NT$ 1,799.00",GB,2024-08-18 12:05
21,381210,Dead by Daylight,NT$ 379.00,GB,2024-08-18 12:05
22,1172470,Apex Legends™,Free To Play,GB,2024-08-18 12:05
23,39210,FINAL FANTASY XIV Online(not available in your region),Free To Play,GB,2024-08-18 12:05
24,1562430,DREDGE,NT$ 486.00,GB,2024-08-18 12:05
25,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,GB,2024-08-18 12:05
26,594650,Hunt: Showdown 1896,NT$ 639.00,GB,2024-08-18 12:05
27,1245620,ELDEN RING,"NT$ 1,790.00",GB,2024-08-18 12:05
28,2059530,Dawn of Defiance,NT$ 246.00,GB,2024-08-18 12:05
29,252490,Rust,NT$ 694.00,GB,2024-08-18 12:05
30,1222670,The Sims™ 4,Free To Play,GB,2024-08-18 12:05
31,2138330,Cyberpunk 2077: Phantom Liberty,NT$ 679.00,GB,2024-08-18 12:05
32,397540,Borderlands 3,NT$ 178.00,GB,2024-08-18 12:05
33,440,Team Fortress 2,Free To Play,GB,2024-08-18 12:05
34,2252570,Football Manager 2024,NT$ 519.00,GB,2024-08-18 12:05
35,2366980,Thank Goodness You're Here!,NT$ 349.00,GB,2024-08-18 12:05
36,238960,Path of Exile(not available in your region),NT$ 349.00,GB,2024-08-18 12:05
37,553850,HELLDIVERS™ 2,"NT$ 1,190.00",GB,2024-08-18 12:05
