GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
1629520,A Little to the Left,"Nov 8, 2022",Very Positive,"| 9,114 User Reviews",NT$ 160.00,"['Puzzle', 'Relaxing', 'Wholesome', 'Casual', 'Cute', 'Cats', '2D', 'Colorful', 'Cozy', 'Logic', 'Funny', 'Singleplayer', 'Indie', 'Hand-drawn', 'Hidden Object', 'Linear', 'Family Friendly', 'Pixel Graphics', 'Point & Click', 'Multiplayer']",hidden_object,2024-08-13 22:37
2828160,A Little to the Left: Seeing Stars,"Jun 25, 2024",Mixed,| 151 User Reviews,NT$ 172.00,"['Casual', 'Indie', 'Puzzle', 'Relaxing', 'Wholesome', 'Cute', 'Cats', 'Colorful', 'Funny', 'Logic', '2D', 'Cozy', 'Singleplayer', 'Hand-drawn', 'Hidden Object', 'Linear', 'Family Friendly', 'Pixel Graphics', 'Point & Click', 'Multiplayer']",hidden_object,2024-08-13 22:37
559650,Witch It,"Oct 22, 2020",Very Positive,"| 13,471 User Reviews",NT$ 429.00,"['Multiplayer', 'Funny', 'Casual', 'Action', 'Indie', 'Hidden Object', 'Online Co-Op', 'Survival', 'Stealth', 'Co-op', 'Fantasy', 'Early Access', 'First-Person', 'Team-Based', 'Family Friendly', 'PvP', 'Strategy', 'Atmospheric', 'Open World', 'Magic']",hidden_object,2024-08-13 22:37
1619230,The Star Named EOS,"Jul 23, 2024",Very Positive,| 121 User Reviews,NT$ 288.00,"['Anime', 'Hidden Object', 'Casual', 'First-Person', 'Atmospheric', 'Exploration', 'Interactive Fiction', 'Puzzle', 'Point & Click', 'Relaxing', 'Linear', 'Story Rich', 'Narration', '360 Video', 'Colorful', 'Stylized', 'Hand-drawn', 'Emotional', 'Adventure', 'Drama']",hidden_object,2024-08-13 22:37
3019370,Malware,"Aug 1, 2024",Very Positive,| 588 User Reviews,NT$ 52.00,"['Casual', 'Simulation', 'Puzzle', 'Singleplayer', 'Strategy', 'Point & Click', 'Hidden Object', 'Clicker', ""1990's"", 'Life Sim', '2D', 'Retro', 'Detective', 'Memes', 'Logic', 'Psychological Horror', 'Hacking', 'Indie', 'Text-Based', 'Linear']",hidden_object,2024-08-13 22:37
2903560,Platform 8,"May 31, 2024",Very Positive,"| 1,361 User Reviews",NT$ 82.00,"['Psychological Horror', 'Adventure', 'Simulation', 'Walking Simulator', 'Puzzle', 'Hidden Object', 'Exploration', 'Immersive Sim', '3D', 'First-Person', 'Realistic', 'Cinematic', 'Dark', 'Stealth', 'Horror', 'Mystery', 'Modern', 'Funny', 'Surreal', 'Atmospheric']",hidden_object,2024-08-13 22:37
2865580,Let's Minesweeper,"Jul 24, 2024",Mostly Positive,| 257 User Reviews,NT$ 102.00,"['Casual', 'Puzzle', 'Strategy', 'Funny', 'Multiplayer', 'Indie', 'Logic', '2D', 'Pixel Graphics', 'Relaxing', 'Score Attack', 'Point & Click', 'Clicker', 'Hidden Object', 'Singleplayer', 'Co-op', 'Online Co-Op']",hidden_object,2024-08-13 22:37
2019810,Boxes: Lost Fragments,"Feb 1, 2024",Very Positive,"| 1,421 User Reviews",NT$ 268.00,"['Adventure', 'Puzzle', 'Mystery', 'Casual', 'Point & Click', '3D', 'Atmospheric', 'Story Rich', 'Hidden Object', 'Indie', 'Clicker', 'Cinematic', 'Singleplayer', '3D Vision', 'Stylized', 'Narration']",hidden_object,2024-08-13 22:37
524910,Hidden Through Time,"Mar 12, 2020",Very Positive,"| 2,415 User Reviews",NT$ 152.00,"['Hidden Object', 'Casual', 'Puzzle', 'Point & Click', '2D', 'Family Friendly', 'Cute', 'Collectathon', 'Funny', 'Historical', 'Relaxing', 'Colorful', 'Hand-drawn', 'Level Editor', 'Minimalist', 'Time Travel', 'Adventure', 'Singleplayer', 'Atmospheric', 'Building']",hidden_object,2024-08-13 22:37
1458100,Cozy Grove,"Apr 8, 2021",Very Positive,"| 6,638 User Reviews",NT$ 268.00,"['Relaxing', 'Cute', 'Story Rich', 'Cozy', 'Collectathon', 'Hidden Object', 'Colorful', 'Atmospheric', 'Life Sim', 'Procedural Generation', '2D', 'Management', 'Cartoony', 'Casual', 'Character Customization', 'Funny', 'Crafting', 'Singleplayer', 'Indie', 'Surreal']",hidden_object,2024-08-13 22:37
